091000000BBMHA0	091000000BBMHBU
091000000BBNAA0	091000000BBNABT
091000000BBNBA0	091000000BBNBBU
091000000BBNVA0	091000000BBNVBU
091000000BBNXA0	091000000BBNXBU
091000000BBPFA0	091000000BBPFBU
091000000BBPLA0	091000000BBPLBU
091000000BBPPA0	091000000BBPPBU
091000000BBPZA0	091000000BBPZBU
091000000BBQEA0	091000000BBQEBU
091000000BBSTA0	091000000BBSTBU
091000000BBTCA0	091000000BBTCBU
091000000BBTPA0	091000000BBTPBU
091000000BBUBA0	091000000BBUBBU
091000000BBUJA0	091000000BBUJBU
091000000BBUNA0	091000000BBUNBT
091000000BBUPA0	091000000BBUPBU
091000000BBUQA0	091000000BBUQBT
091000000BBUSA0	091000000BBUSBT
091000000BBUTA0	091000000BBUTBT
091000000BBUUA0	091000000BBUUBU
091000000BBVFA0	091000000BBVFBT
091000000BBVGA0	091000000BBVGBT
091000000BBVQA0	091000000BBVQBT
091000000BBVRA0	091000000BBVRBT
091000000BBVSA0	091000000BBVSBT
091000000BBVTA0	091000000BBVTBT
091000000BBVXA0	091000000BBVXBT
091000000BBWAA0	091000000BBWABU
091000000BBWBA0	091000000BBWBBU
091000000BBWCA0	091000000BBWCBU
091000000BBWDA0	091000000BBWDBU
091000000BBWKA0	091000000BBWKBT
091000000BBWLA0	091000000BBWLBT
091000000BBWMA0	091000000BBWMBU
091000000BBWNA0	091000000BBWNBT
091000000BBWPA0	091000000BBWPBT
091000000BBWQA0	091000000BBWQBT
091000000BBWRA0	091000000BBWRBU
091000000BBWSA0	091000000BBWSBT
091000000BBWTA0	091000000BBWTBT
091000000BBWUA0	091000000BBWUBU
091000000BBWVA0	091000000BBWVBU
091000000BBWWA0	091000000BBWWBT
091000000BBWXA0	091000000BBWXBU
091000000BBWYA0	091000000BBWYBT
091000000BBXFA0	091000000BBXFBU
091000000BBXHA0	091000000BBXHBU
091000000BBXIA0	091000000BBXIBU
091000000BBXJA0	091000000BBXJBU
091000000BBXLA0	091000000BBXLBU
091200000BFRBA0	091000000BBXMBT
091200000BESRA0	091000000BBXNBT
091200000BFPCA0	091000000BBXPBT
091200000BFTZA0	091000000BBXQBT
091200000BFLHA0	091000000BBXRBT
091200000BDRJA0	091000000BBXSBT
091200000BDYUA0	091000000BBXTBT
091200000BEWPA0	091000000BBXUBT
091200000BEYJA0	091000000BBXVBT
091200000BESXA0	091000000BBXWBT
091200000BEBHA0	091000000BBXXBT
