0101010F0BDAAAU	0101010F0BDABBE
0904010E0BHAAAF	0913261E0BEAAAC
0904010F0AAABAB	0913261R0AAAEAE
0904010F0BEABAA	0913451E0BBAAAA
0904010F0BEACAA	0913451E0BBABAA
0904010F0BGAAAA	0913261H0BBAAAA
0904010F0BGABAA	0913261P0BCAAAB
0904010F0BGADAA	0913261H0BBABAA
0904010F0BGAEAA	0913261L0BCAAAB
0904010F0BGAFAA	0913261P0BCABAC
0904010F0BGAGAB	0913261R0BCAAAE
0904010H0BDAAAA	0913271A0BFAAAR
0904010H0BDABAA	0913271A0BFAEAV
0904010H0BDACAA	0913271B0BEAAAI
0904010H0BDADAA	0913271B0BEABAJ
0904010H0BDAEAA	0913271A0BFABAS
0904010H0BDAFAA	0913271A0BFAFAW
0904010H0BDAGAA	0913271B0BEAFAN
0904010H0BDAHAA	0913271B0BEAEAM
0904010H0BDAIAA	0913461G0BDAAAC
0904010H0BDAJAA	0913271A0BFAHAY
0904010H0BDAKAA	0913271A0BFAGAX
0904010H0BDALAA	0913271A0BFADAU
0904010H0BDAMAA	0913271A0BFACAT
0904010H0BDANAA	0913271B0BEADAL
0904010H0BDAPAA	0913271B0BEACAK
0904010H0BJAAAA	0913271A0BDACAH
0904010H0BJABAA	0913271A0BDAHAM
0904010H0BJAFAA	0913271B0BCAEAG
0904010H0BJAJAA	0913271B0BCACAE
0904010H0BJAKAA	0913461H0BDAAAF
0904010H0BJALAA	0913271A0BDAFAK
0904010H0BJAMAA	0913461H0BDABAG
0904010H0BJAPAA	0913271A0BDAGAL
0904010H0BJAQAA	0913271A0BDADAI
0904010H0BJARAA	0913271A0BDAIAN
0904010H0BJASAA	0913271A0BDAAAF
0904010H0BJATAA	0913271B0BCAAAC
0904010H0BJAUAA	0913271B0BCADAF
0904010H0BJAVAA	0913271A0BDABAG
0904010H0BJAWAA	0913271A0BDAEAJ
0904010H0BJAZAA	0913461G0BCAAAB
0904010H0BJBAAA	0913271B0BCABAD
0904010H0BLAAAA	0913461E0BEABAI
0904010H0BLABAA	0913271A0BGAAAZ
0904010H0BLACAA	0913271B0BFACAR
0904010H0BLAHAA	0913271B0BFABAQ
0904010H0BLAKAA	0913271B0BFAAAP
0904010H0BLATAA	0913461E0BEAAAH
0904010H0BRAAAA	0913271A0BHABBB
